Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Thermoanaerobacter pseudethanolicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.08757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacter sp;9.87108;0;0;0;0;7.7824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.82654;46.59398;9.85404;0;13.1281;11.50351;5.12265;10.67293;2.31008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacter tengcongensis;32.46812;95.51098;0;96.66506;0;14.22096;104.8218;0;0;0;0;0;0;0;0;0;0;0;0;0;52.68704;0;36.15002;42.57131;33.76211;18.53396;35.98417;13.85458;25.97621;67.28524;18.99582;0;0;49.22471;37.76435;0;74.40476;0;87.68084;0;44.41483;0;0;0;0;0;0
Thermoanaerobacter wiegelii;10.45114;0;0;0;0;10.29972;202.42915;0;0;0;0;0;67.79661;0;0;70.47216;0;83.36807;0;74.87832;0;0;10.47285;0;11.95457;0;8.68734;3.69075;14.91505;13.65426;13.92762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacterium phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.53909;45.11617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacterium saccharolyticum;24.90948;94.20631;0;0;0;24.54848;0;0;0;0;13.71554;0;0;0;0;0;0;0;0;0;103.9501;0;28.52711;25.19526;16.6515;36.56307;26.62092;21.67736;23.77616;30.78033;20.1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacterium thermosaccharolyticum;34.82864;0;0;0;0;12.01325;0;78.80221;0;0;0;0;0;0;0;70.44734;0;0;0;0;0;0;27.92029;24.65889;31.50872;17.89229;34.74032;29.51866;27.78933;39.06967;41.43276;0;0;0;36.46308;0;0;0;84.67401;51.65289;0;0;212.53985;0;0;0;0
Thermoanaerobacterium xylanolyticum;24.88419;0;0;0;0;7.5456;0;0;0;0;0;0;0;132.80212;0;0;0;0;0;0;0;0;30.69014;27.10517;19.10836;39.33523;28.63962;30.92569;30.54588;14.4875;17.17187;0;0;0;0;0;0;0;0;0;0;212.31423;0;0;0;0;76.51109
Thermobacillus composti;10.95638;61.0687;0;0;0;13.639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168.43524;0;13.86818;10.88761;11.51303;11.84975;15.33831;5.80374;10.62353;14.96376;14.3947;0;0;62.94256;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermobaculum terrenum;16.75343;0;0;0;0;21.22792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.90563;163.93443;33.57636;11.29688;23.89201;0;31.83066;7.60673;28.56673;32.99369;24.27105;0;0;65.29546;0;111.7943;0;0;0;0;0;0;0;0;0;0;0
Thermobifida fusca;5.99365;0;0;0;0;5.25045;0;60.27728;0;0;0;0;0;0;0;0;0;0;0;0;77.80587;182.48175;12.01201;15.71734;4.98604;20.52686;13.28551;5.64428;10.36805;2.88022;11.94855;0;0;0;0;0;0;0;0;0;0;147.71049;162.60163;0;0;0;0
Thermobispora bispora;7.52572;183.93624;0;0;0;11.41018;0;52.39717;0;0;0;0;0;0;0;0;0;0;0;0;135.27224;158.60428;9.2816;21.85972;5.0566;0;3.84956;6.74636;15.62202;4.38148;7.22547;0;0;0;0;0;0;0;0;0;0;128.3697;0;0;0;0;0
Thermocrinis albus;42.02767;0;0;0;0;6.37206;0;0;0;122.02563;0;95.51098;0;0;0;130.80445;0;0;0;0;0;0;32.39601;30.52037;16.13619;99.65122;10.74922;20.55006;28.10167;26.21598;32.15434;0;0;264.66696;0;0;0;153.84615;0;95.87728;0;0;0;0;0;0;0
Thermocrinis ruber;15.94693;0;0;0;0;18.85903;0;144.30014;0;0;0;0;0;0;0;0;0;0;0;0;93.15324;218.34061;19.17607;15.05457;7.95957;0;31.81336;21.96298;49.65428;45.69202;11.19591;0;0;0;0;148.92033;0;0;0;0;0;0;0;0;0;0;0
